우편번호,우편번호순서,도이름,시군구이름,읍면동이름,리건물이름,동호,전체주소
137926,11,서울특별시,서초구,서초1동,,1641-1~1641-13,서울특별시 서초구 서초1동 1641-1~1641-13
137927,11,서울특별시,서초구,서초3동,,1451,서울특별시 서초구 서초3동 1451
137929,12,서울특별시,서초구,서초4동,서초교대e편한세상아파트,(101~106동),서울특별시 서초구 서초4동 서초교대e편한세상아파트 (101~106동)
137930,2,서울특별시,서초구,반포1동,반포자이아파트,(101~144동),서울특별시 서초구 반포1동 반포자이아파트 (101~144동)
137931,2,서울특별시,서초구,반포1동,삼호가든아파트,(501~503동),서울특별시 서초구 반포1동 삼호가든아파트 (501~503동)
137932,2,서울특별시,서초구,반포1동,삼호가든아파트,(가~마동),서울특별시 서초구 반포1동 삼호가든아파트 (가~마동)
137933,2,서울특별시,서초구,반포1동,삼호가든아파트,(A~F동),서울특별시 서초구 반포1동 삼호가든아파트 (A~F동)
137934,2,서울특별시,서초구,방배3동,대우효령아파트,,서울특별시 서초구 방배3동 대우효령아파트
137935,2,서울특별시,서초구,방배3동,방배래미안타워,,서울특별시 서초구 방배3동 방배래미안타워
137936,2,서울특별시,서초구,방배3동,방배아트힐아파트,,서울특별시 서초구 방배3동 방배아트힐아파트
137937,2,서울특별시,서초구,방배4동,현대아파트,,서울특별시 서초구 방배4동 현대아파트
137938,3,서울특별시,서초구,양재2동,현대기아자동차빌딩,,서울특별시 서초구 양재2동 현대기아자동차빌딩
137939,3,서울특별시,서초구,양재2동,농협전산정보,,서울특별시 서초구 양재2동 농협전산정보
137940,3,서울특별시,서초구,양재2동,삼호물산A빌딩,,서울특별시 서초구 양재2동 삼호물산A빌딩
137941,3,서울특별시,서초구,양재2동,삼호물산B빌딩,,서울특별시 서초구 양재2동 삼호물산B빌딩
137942,3,서울특별시,서초구,양재2동,양재동화훼공판장,,서울특별시 서초구 양재2동 양재동화훼공판장
137943,3,서울특별시,서초구,양재2동,태석빌딩,,서울특별시 서초구 양재2동 태석빌딩
137944,3,서울특별시,서초구,양재2동,트윈타워,(A동),서울특별시 서초구 양재2동 트윈타워 (A동)
137945,3,서울특별시,서초구,양재2동,트윈타워,(B동),서울특별시 서초구 양재2동 트윈타워 (B동)
137947,2,서울특별시,서초구,잠원동,대림아파트,,서울특별시 서초구 잠원동 대림아파트
137948,2,서울특별시,서초구,잠원동,동아아파트,,서울특별시 서초구 잠원동 동아아파트
137949,2,서울특별시,서초구,잠원동,신반포한신아파트,(201~217동),서울특별시 서초구 잠원동 신반포한신아파트 (201~217동)
137950,2,서울특별시,서초구,잠원동,신반포한신아파트,(301~329동),서울특별시 서초구 잠원동 신반포한신아파트 (301~329동)
137951,2,서울특별시,서초구,잠원동,신반포한신아파트,(330~351동),서울특별시 서초구 잠원동 신반포한신아파트 (330~351동)
137952,11,서울특별시,서초구,서초3동,,1500~1507,서울특별시 서초구 서초3동 1500~1507
137953,11,서울특별시,서초구,서초3동,,1600~1602,서울특별시 서초구 서초3동 1600~1602
137955,13,서울특별시,서초구,서초2동,삼성생명서초타워,,서울특별시 서초구 서초2동 삼성생명서초타워
137956,13,서울특별시,서초구,서초2동,삼성물산(주),,서울특별시 서초구 서초2동 삼성물산(주)
137960,3,서울특별시,서초구,반포4동,센트럴시티빌딩,,서울특별시 서초구 반포4동 센트럴시티빌딩
137963,13,서울특별시,서초구,서초3동,서초이오빌,,서울특별시 서초구 서초3동 서초이오빌
137964,13,서울특별시,서초구,서초2동,대한생명보험빌딩,,서울특별시 서초구 서초2동 대한생명보험빌딩
137965,13,서울특별시,서초구,서초2동,삼성전자빌딩,,서울특별시 서초구 서초2동 삼성전자빌딩
137966,17,서울특별시,서초구,반포4동,공정거래위원회,,서울특별시 서초구 반포4동 공정거래위원회
137967,13,서울특별시,서초구,방배2동,구산타워,,서울특별시 서초구 방배2동 구산타워
137970,11,서울특별시,서초구,방배본동,,3270~3300,서울특별시 서초구 방배본동 3270~3300
137973,13,서울특별시,서초구,서초2동,서초타운트라팰리스,,서울특별시 서초구 서초2동 서초타운트라팰리스
137974,11,서울특별시,서초구,방배4동,,2982~3205,서울특별시 서초구 방배4동 2982~3205
138040,1,서울특별시,송파구,풍납동,,,서울특별시 송파구 풍납동
138041,1,서울특별시,송파구,풍납1동,,,서울특별시 송파구 풍납1동
138042,1,서울특별시,송파구,풍납2동,,,서울특별시 송파구 풍납2동
138050,1,서울특별시,송파구,방이동,,,서울특별시 송파구 방이동
138051,1,서울특별시,송파구,방이1동,,,서울특별시 송파구 방이1동
138052,1,서울특별시,송파구,방이2동,,,서울특별시 송파구 방이2동
138110,1,서울특별시,송파구,거여동,,,서울특별시 송파구 거여동
138111,1,서울특별시,송파구,거여1동,,,서울특별시 송파구 거여1동
138112,1,서울특별시,송파구,거여2동,,,서울특별시 송파구 거여2동
138120,1,서울특별시,송파구,마천동,,,서울특별시 송파구 마천동
138121,1,서울특별시,송파구,마천1동,,,서울특별시 송파구 마천1동
138122,1,서울특별시,송파구,마천2동,,,서울특별시 송파구 마천2동
138130,1,서울특별시,송파구,오금동,,,서울특별시 송파구 오금동
138130,17,서울특별시,송파구,오금동,서울송파우체국,,서울특별시 송파구 오금동 서울송파우체국
138730,3,서울특별시,송파구,신천동,수협중앙회,,서울특별시 송파구 신천동 수협중앙회
138731,3,서울특별시,송파구,신천동,월드타워건물,,서울특별시 송파구 신천동 월드타워건물
138732,3,서울특별시,송파구,장지동,아이코리아,,서울특별시 송파구 장지동 아이코리아
138733,3,서울특별시,송파구,신천동,한신코아오피스텔,,서울특별시 송파구 신천동 한신코아오피스텔
138734,3,서울특별시,송파구,신천동,시그마타워,,서울특별시 송파구 신천동 시그마타워
138735,2,서울특별시,송파구,신천동,현대타워,,서울특별시 송파구 신천동 현대타워
138736,3,서울특별시,송파구,풍납2동,서울아산병원,,서울특별시 송파구 풍납2동 서울아산병원
138737,2,서울특별시,송파구,오금동,대림아파트,,서울특별시 송파구 오금동 대림아파트
138738,2,서울특별시,송파구,오금동,상아아파트,,서울특별시 송파구 오금동 상아아파트
138739,2,서울특별시,송파구,오금동,우창아파트,,서울특별시 송파구 오금동 우창아파트
138740,2,서울특별시,송파구,오금동,현대아파트,(21~44동),서울특별시 송파구 오금동 현대아파트 (21~44동)
138741,2,서울특별시,송파구,가락1동,시영아파트,(1~46동),서울특별시 송파구 가락1동 시영아파트 (1~46동)
138742,3,서울특별시,송파구,신천동,서울시교통회관건물,,서울특별시 송파구 신천동 서울시교통회관건물
138743,2,서울특별시,송파구,가락2동,극동아파트,,서울특별시 송파구 가락2동 극동아파트
138744,2,서울특별시,송파구,가락2동,미륭아파트,,서울특별시 송파구 가락2동 미륭아파트
138745,2,서울특별시,송파구,가락2동,삼환아파트,,서울특별시 송파구 가락2동 삼환아파트
138746,2,서울특별시,송파구,가락2동,프라자아파트,,서울특별시 송파구 가락2동 프라자아파트
138747,2,서울특별시,송파구,가락2동,쌍용아파트,,서울특별시 송파구 가락2동 쌍용아파트
138748,2,서울특별시,송파구,가락2동,래미안파크팰리스아파트,(101~114동),서울특별시 송파구 가락2동 래미안파크팰리스아파트 (101~114동)
138749,3,서울특별시,송파구,오륜동,올림픽회관,,서울특별시 송파구 오륜동 올림픽회관
138750,7,서울특별시,송파구,풍납2동,강동세무서,,서울특별시 송파구 풍납2동 강동세무서
138751,2,서울특별시,송파구,가락본동,금호아파트,,서울특별시 송파구 가락본동 금호아파트
138752,2,서울특별시,송파구,가락본동,대림아파트,,서울특별시 송파구 가락본동 대림아파트
138753,2,서울특별시,송파구,가락본동,우성아파트,,서울특별시 송파구 가락본동 우성아파트
138754,2,서울특별시,송파구,가락본동,동부썬빌,,서울특별시 송파구 가락본동 동부썬빌
138755,2,서울특별시,송파구,거여1동,현대아파트,(101~106동),서울특별시 송파구 거여1동 현대아파트 (101~106동)
138756,2,서울특별시,송파구,거여2동,비호아파트,,서울특별시 송파구 거여2동 비호아파트
138756,12,서울특별시,송파구,거여2동,사자아파트,,서울특별시 송파구 거여2동 사자아파트
138757,2,서울특별시,송파구,거여2동,현대아파트,(201~203동),서울특별시 송파구 거여2동 현대아파트 (201~203동)
138758,2,서울특별시,송파구,가락본동,쌍용2차아파트,(101~105동),서울특별시 송파구 가락본동 쌍용2차아파트 (101~105동)
138759,3,서울특별시,송파구,잠실본동,올림피아오피스텔,,서울특별시 송파구 잠실본동 올림피아오피스텔
138760,3,서울특별시,송파구,가락본동,세화오피스텔,,서울특별시 송파구 가락본동 세화오피스텔
138761,2,서울특별시,송파구,장지동,건영아파트,,서울특별시 송파구 장지동 건영아파트
138762,2,서울특별시,송파구,장지동,문정시영아파트,(1~10동),서울특별시 송파구 장지동 문정시영아파트 (1~10동)
138763,5,서울특별시,송파구,오륜동,한국체육대학교,,서울특별시 송파구 오륜동 한국체육대학교
138764,2,서울특별시,송파구,문정1동,삼성래미안아파트,,서울특별시 송파구 문정1동 삼성래미안아파트
138765,2,서울특별시,송파구,문정1동,현대1차아파트,(11~18동),서울특별시 송파구 문정1동 현대1차아파트 (11~18동)
138766,4,서울특별시,송파구,가락본동,한국농어민신문사,,서울특별시 송파구 가락본동 한국농어민신문사
138767,12,서울특별시,송파구,문정2동,훼미리아파트,(220~227동),서울특별시 송파구 문정2동 훼미리아파트 (220~227동)
138767,2,서울특별시,송파구,문정2동,훼미리아파트,(101~112동),서울특별시 송파구 문정2동 훼미리아파트 (101~112동)
138768,2,서울특별시,송파구,문정2동,훼미리아파트,(201~219동),서울특별시 송파구 문정2동 훼미리아파트 (201~219동)
138769,12,서울특별시,송파구,문정2동,훼미리아파트,(228~234동),서울특별시 송파구 문정2동 훼미리아파트 (228~234동)
138769,2,서울특별시,송파구,문정2동,훼미리아파트,(301~310동),서울특별시 송파구 문정2동 훼미리아파트 (301~310동)
138770,2,서울특별시,송파구,잠실본동,우성4차아파트,(101~108동),서울특별시 송파구 잠실본동 우성4차아파트 (101~108동)
138771,2,서울특별시,송파구,방이1동,대림아파트,,서울특별시 송파구 방이1동 대림아파트
138772,2,서울특별시,송파구,방이1동,코오롱아파트,,서울특별시 송파구 방이1동 코오롱아파트
138773,2,서울특별시,송파구,송파1동,한양아파트,(1~7동),서울특별시 송파구 송파1동 한양아파트 (1~7동)
138774,7,서울특별시,송파구,가락본동,한국조세연구원,,서울특별시 송파구 가락본동 한국조세연구원
138775,2,서울특별시,송파구,송파2동,미성아파트,,서울특별시 송파구 송파2동 미성아파트
138776,2,서울특별시,송파구,송파2동,래미안송파파인탑아파트,(101~109동),서울특별시 송파구 송파2동 래미안송파파인탑아파트 (101~109동)
138777,2,서울특별시,송파구,송파2동,삼익아파트,,서울특별시 송파구 송파2동 삼익아파트
138778,2,서울특별시,송파구,송파2동,삼성아파트,,서울특별시 송파구 송파2동 삼성아파트
138779,2,서울특별시,송파구,송파2동,한양2차아파트,(21~31동),서울특별시 송파구 송파2동 한양2차아파트 (21~31동)
138780,2,서울특별시,송파구,풍납1동,동아한가람아파트,,서울특별시 송파구 풍납1동 동아한가람아파트
138781,2,서울특별시,송파구,풍납2동,극동아파트,(1~5동),서울특별시 송파구 풍납2동 극동아파트 (1~5동)
138782,2,서울특별시,송파구,풍납2동,미성아파트,,서울특별시 송파구 풍납2동 미성아파트
138783,2,서울특별시,송파구,풍납2동,우성아파트,,서울특별시 송파구 풍납2동 우성아파트
138784,2,서울특별시,송파구,풍납2동,한강극동아파트,(101~109동),서울특별시 송파구 풍납2동 한강극동아파트 (101~109동)
138785,2,서울특별시,송파구,풍납2동,현대아파트,,서울특별시 송파구 풍납2동 현대아파트
138786,2,서울특별시,송파구,오륜동,올림픽선수촌아파트,(116~136동),서울특별시 송파구 오륜동 올림픽선수촌아파트 (116~136동)
138787,2,서울특별시,송파구,오륜동,올림픽선수촌아파트,(201~215동),서울특별시 송파구 오륜동 올림픽선수촌아파트 (201~215동)
138787,12,서울특별시,송파구,오륜동,올림픽선수촌아파트,(101~115동),서울특별시 송파구 오륜동 올림픽선수촌아파트 (101~115동)
138788,2,서울특별시,송파구,오륜동,올림픽선수촌아파트,(301~328동),서울특별시 송파구 오륜동 올림픽선수촌아파트 (301~328동)
138789,12,서울특별시,송파구,가락본동,가락3차쌍용스윗닷홈아파트,(101~105동),서울특별시 송파구 가락본동 가락3차쌍용스윗닷홈아파트 (101~105동)
138790,2,서울특별시,송파구,잠실3동,레이크팰리스아파트,(101~117동),서울특별시 송파구 잠실3동 레이크팰리스아파트 (101~117동)
138791,3,서울특별시,송파구,잠실3동,갤러리아팰리스,,서울특별시 송파구 잠실3동 갤러리아팰리스
138792,3,서울특별시,송파구,신천동,향군회관건물,,서울특별시 송파구 신천동 향군회관건물
138793,2,서울특별시,송파구,잠실4동,미성아파트,,서울특별시 송파구 잠실4동 미성아파트
138794,12,서울특별시,송파구,신천동,잠실더샵스타파크아파트,(101~103동),서울특별시 송파구 신천동 잠실더샵스타파크아파트 (101~103동)
138795,2,서울특별시,송파구,잠실4동,진주아파트,,서울특별시 송파구 잠실4동 진주아파트
138796,2,서울특별시,송파구,잠실6동,장미아파트,(1~15동),서울특별시 송파구 잠실6동 장미아파트 (1~15동)
138797,2,서울특별시,송파구,잠실7동,아시아선수촌아파트,,서울특별시 송파구 잠실7동 아시아선수촌아파트
138798,2,서울특별시,송파구,잠실7동,우성아파트,(1~29동),서울특별시 송파구 잠실7동 우성아파트 (1~29동)
138799,6,서울특별시,송파구,거여동,사서함,138-1~138-50,서울특별시 송파구 거여동 사서함 138-1~138-50
138800,1,서울특별시,송파구,가락본동,,1~20,서울특별시 송파구 가락본동 1~20
138801,1,서울특별시,송파구,가락본동,,21~49,서울특별시 송파구 가락본동 21~49
138802,11,서울특별시,송파구,가락본동,,159,서울특별시 송파구 가락본동 159
138802,1,서울특별시,송파구,가락본동,,50~74,서울특별시 송파구 가락본동 50~74
138803,1,서울특별시,송파구,가락본동,,75~88,서울특별시 송파구 가락본동 75~88
138804,1,서울특별시,송파구,가락본동,,89~97,서울특별시 송파구 가락본동 89~97
138805,1,서울특별시,송파구,가락본동,,98~99,서울특별시 송파구 가락본동 98~99
138806,1,서울특별시,송파구,가락본동,,100~122,서울특별시 송파구 가락본동 100~122
138807,1,서울특별시,송파구,가락2동,,123~139,서울특별시 송파구 가락2동 123~139
138808,1,서울특별시,송파구,가락2동,,140~150,서울특별시 송파구 가락2동 140~150
