ep,lr,nodes,layers,act,corr,mse
5000,0.01,64,2,tanh,0.9601,0.003237
2000,0.005,64,3,tanh,0.9546,0.003655
5000,0.005,64,2,tanh,0.9534,0.003774
5000,0.005,32,2,tanh,0.9523,0.003845
5000,0.001,64,3,tanh,0.9505,0.003985
2000,0.01,64,2,tanh,0.9503,0.00399
5000,0.005,64,3,tanh,0.9523,0.004045
2000,0.01,64,3,tanh,0.9499,0.004051
5000,0.001,64,2,relu,0.9497,0.004085
5000,0.005,64,1,relu,0.949,0.004097
5000,0.01,32,2,tanh,0.9486,0.004213
5000,0.01,64,3,softplus,0.9479,0.004229
5000,0.001,64,1,relu,0.9472,0.004274
2000,0.001,64,2,relu,0.9462,0.004339
5000,0.01,64,1,relu,0.9461,0.00439
5000,0.01,32,3,relu,0.9466,0.004398
5000,0.005,64,3,sigmoid,0.9454,0.004404
5000,0.005,32,3,tanh,0.9464,0.00441
5000,0.001,64,2,tanh,0.9443,0.004462
2000,0.01,32,2,tanh,0.9443,0.004536
2000,0.005,64,1,relu,0.944,0.004566
5000,0.001,32,2,tanh,0.9431,0.004592
5000,0.01,32,3,sigmoid,0.943,0.004596
2000,0.01,32,2,relu,0.9429,0.004604
5000,0.005,32,3,sigmoid,0.9427,0.004627
2000,0.01,64,1,relu,0.9452,0.004629
5000,0.001,32,3,tanh,0.9417,0.004671
2000,0.005,32,2,tanh,0.9438,0.004706
5000,0.001,32,2,relu,0.9413,0.004756
2000,0.001,64,3,relu,0.9423,0.004762
2000,0.001,32,2,relu,0.9404,0.004802
5000,0.01,32,3,softplus,0.9402,0.004829
2000,0.01,32,3,relu,0.9409,0.004841
5000,0.005,64,3,softplus,0.9394,0.004841
2000,0.005,32,3,tanh,0.9393,0.004859
5000,0.01,32,2,sigmoid,0.9392,0.004885
5000,0.005,32,3,softplus,0.9383,0.004949
5000,0.01,32,1,sigmoid,0.9379,0.004953
5000,0.01,64,1,tanh,0.9381,0.00497
5000,0.005,32,1,sigmoid,0.9364,0.005065
5000,0.01,64,2,sigmoid,0.9364,0.00508
5000,0.01,64,1,sigmoid,0.9362,0.00509
5000,0.01,64,2,softplus,0.9365,0.005101
2000,0.01,32,3,tanh,0.9369,0.005109
5000,0.01,32,2,relu,0.9367,0.005109
5000,0.005,32,2,relu,0.938,0.005125
2000,0.001,32,3,relu,0.9366,0.005129
5000,0.005,32,1,tanh,0.9361,0.005132
5000,0.001,32,3,relu,0.9365,0.005149
5000,0.001,32,3,sigmoid,0.9354,0.005152
5000,0.01,32,2,softplus,0.9357,0.005153
2000,0.005,64,3,relu,0.9367,0.005186
5000,0.005,64,1,tanh,0.9349,0.005204
2000,0.01,32,3,sigmoid,0.9344,0.005253
2000,0.001,64,3,tanh,0.934,0.005263
