"Root","RelativePath","Extension","SizeBytes","LastWriteTime"
"from_colab","from_colab\0527\iris_random_forest_model.pkl",".pkl","167745","2026-05-27 16:02:44"
"from_colab","from_colab\0527\iris_scaler.pkl",".pkl","1047","2026-05-27 16:02:50"
"from_colab","from_colab\0527\ML_sample.ipynb",".ipynb","512724","2026-05-27 16:14:15"
"from_colab","from_colab\0527\ml_sample.py",".py","9306","2026-05-27 16:14:23"
"from_colab","from_colab\0527\test1_wine.ipynb",".ipynb","4706949","2026-05-28 12:18:45"
"from_colab","from_colab\0527\test1_wine.py",".py","4783","2026-05-28 12:18:56"
"from_colab","from_colab\0528_data\data.zip",".zip","68000","2026-05-28 08:59:47"
"from_colab","from_colab\0528_data\subway\subway_test.csv",".csv","23872","2026-05-28 12:36:16"
"from_colab","from_colab\0528_data\subway\subway_train.csv",".csv","71143","2026-05-28 12:36:16"
"from_colab","from_colab\0528_data\titanic\test.csv",".csv","28629","2026-05-28 12:36:16"
"from_colab","from_colab\0528_data\titanic\train.csv",".csv","61194","2026-05-28 12:36:16"
"from_colab","from_colab\0528\pytorch_basic_using.ipynb",".ipynb","62917","2026-05-28 12:16:21"
"from_colab","from_colab\0528\pytorch_basic_using.py",".py","8059","2026-05-28 12:16:31"
"from_colab","from_colab\0528\Regression_and_Classification_Model_Hands_on.ipynb",".ipynb","2583","2026-05-28 14:01:16"
"from_colab","from_colab\0528\regression_and_classification_model_hands_on.py",".py","1163","2026-05-28 14:01:28"
"from_colab","from_colab\0528-s\_subway_tune.py",".py","9953","2026-06-08 21:29:09"
"from_colab","from_colab\0528-s\pytorch_basic_using.ipynb",".ipynb","44250","2026-05-28 14:02:36"
"from_colab","from_colab\0528-s\subway_submission_nn.csv",".csv","8395","2026-06-08 21:29:09"
"from_colab","from_colab\0528-s\subway_submission_v2.csv",".csv","11052","2026-05-29 15:25:42"
"from_colab","from_colab\0528-s\서울지하철이용자수예측회귀모델.ipynb",".ipynb","321664","2026-05-29 14:55:25"
"from_colab","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned.ipynb",".ipynb","331141","2026-06-10 09:11:31"
"from_colab","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned-0.ipynb",".ipynb","333362","2026-05-29 09:47:25"
"from_colab","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned-1.ipynb",".ipynb","341577","2026-05-29 12:23:51"
"from_colab","from_colab\0528-s\서울지하철이용자수예측회귀모델_tuned-2.ipynb",".ipynb","16176","2026-06-08 21:29:09"
"from_colab","from_colab\0528-s\타이타닉분류모델.ipynb",".ipynb","258513","2026-05-28 23:29:07"
"from_colab","from_colab\0528-s\화면 캡처 2026-05-29 091611.png",".png","32764","2026-05-29 09:16:32"
"from_colab","from_colab\0528-s\화면 캡처 2026-05-29 112625.png",".png","165014","2026-05-29 11:26:28"
"from_colab","from_colab\0528-s\회귀및분류모델실습.ipynb",".ipynb","167827","2026-05-28 14:02:29"
"from_colab","from_colab\0529-s\content\data\국가데이터처_나라통계_우편번호_20211110.csv",".csv","4266473","2026-05-29 16:06:02"
"from_colab","from_colab\0529-s\data.zip",".zip","253813","2026-05-29 09:01:22"
"from_colab","from_colab\0529-s\data\opt_letterdata.csv",".csv","732670","2026-05-29 10:00:14"
"from_colab","from_colab\0529-s\data\wisc_data.csv",".csv","125093","2026-05-29 10:00:14"
"from_colab","from_colab\0529-s\iris_logistic_regression_pytorch.ipynb",".ipynb","140816","2026-05-29 13:58:33"
"from_colab","from_colab\0529-s\pytorch_knn_breast_cancer.ipynb",".ipynb","128864","2026-05-29 09:01:35"
"from_colab","from_colab\0529-s\pytorch_naive_bayes_sms_spam.ipynb",".ipynb","109743","2026-05-29 09:01:41"
"from_colab","from_colab\0529-s\pytorch_svm_letter_classification.ipynb",".ipynb","212914","2026-05-29 09:01:29"
"from_colab","from_colab\0529-s\pytorch_svm_letter_classification_우편번호분류기-과제완.ipynb",".ipynb","280329","2026-05-29 17:50:54"
"from_colab","from_colab\0529-s\pytorch_svm_letter_classification-0.ipynb",".ipynb","228353","2026-05-29 16:06:28"
"from_colab","from_colab\0529-s\pytorch_svm_letter_classification-우편번호분류기.ipynb",".ipynb","155332","2026-06-10 09:11:31"
"from_colab","from_colab\0529-s\과제.zip",".zip","849372","2026-05-29 17:44:18"
"from_colab","from_colab\0529-s\국가데이터처_나라통계_우편번호_20211110.csv",".csv","4266473","2026-05-29 16:06:02"
"from_colab","from_colab\0529-s\나이브베이즈 라플라스 스무딩\ls-0.1.png",".png","246900","2026-05-29 15:09:45"
"from_colab","from_colab\0529-s\나이브베이즈 라플라스 스무딩\화면 캡처 2026-05-29 150819.png",".png","150836","2026-05-29 15:08:40"
"from_colab","from_colab\0529-s\실습문제.txt",".txt","1140","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\_quick_tune.py",".py","4068","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\_tune_search.py",".py","4169","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\_wine_core_test.py",".py","5599","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\_wine_grid_search.log",".log","0","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\_wine_grid_search.py",".py","7526","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\5_머신러닝_알고리즘_앙상블.pdf",".pdf","1317696","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\backpropagation_torch_colab.ipynb",".ipynb","63750","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\decision_tree_torch.ipynb",".ipynb","191627","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\decision_tree_torch-실습.ipynb",".ipynb","133046","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\decision_tree_torch-실습-end.ipynb",".ipynb","315876","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\iris_logistic_regression_pytorch.ipynb",".ipynb","142325","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\regression_model_torch.ipynb",".ipynb","702480","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\regression_tree_torch.ipynb",".ipynb","189755","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\regression_tree_torch-과제.ipynb",".ipynb","178908","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\regression_tree_torch-과제_backup_before_tuning.ipynb",".ipynb","213724","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\의사결정트리_실습문제1.txt",".txt","6334","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\의사결정트리_실습문제1-1.txt",".txt","11614","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\회귀트리_성능향상.ipynb",".ipynb","208609","2026-06-08 21:29:09"
"from_colab","from_colab\0601-s\회귀트리_실습문제.txt",".txt","10871","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_torch.ipynb",".ipynb","247805","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_torch_실습-2.ipynb",".ipynb","63729","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_torch_실습-3.ipynb",".ipynb","64263","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_torch_실습-4.ipynb",".ipynb","187206","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_torch-실습.ipynb",".ipynb","263052","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_torch-실습-.ipynb",".ipynb","85874","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_그리드서치_결과.md",".md","2104","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\ANN_실습문제.md",".md","20897","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\concrete_stg.csv",".csv","41415","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\decision_tree_torch_adaboost_added.ipynb",".ipynb","238953","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\decision_tree_torch_bagging_added.ipynb",".ipynb","240202","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\decision_tree_torch_gradient_boosting_added.ipynb",".ipynb","239547","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\decision_tree_torch_random_forest_added.ipynb",".ipynb","239024","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\grid_results.csv",".csv","8424","2026-06-08 21:29:09"
"from_colab","from_colab\0602-s\knn_pca_full_output.py",".py","8112","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\dimensionality_reduction.ipynb",".ipynb","1301163","2026-06-08 21:29:09"
