iter	Passed	Remaining
0	17	5146
1	30	4616
2	43	4302
3	52	3953
4	66	3965
5	79	3951
6	93	3951
7	106	3928
8	116	3805
9	128	3765
10	141	3763
11	156	3806
12	171	3828
13	181	3752
14	195	3758
15	210	3772
16	223	3754
17	236	3740
18	246	3683
19	266	3771
20	282	3796
21	326	4172
22	391	4761
23	425	4950
24	439	4883
25	453	4833
26	470	4811
27	482	4736
28	495	4677
29	565	5145
30	590	5178
31	604	5116
32	614	5029
33	627	4965
34	640	4904
35	655	4860
36	669	4810
37	681	4751
38	694	4698
39	708	4661
40	721	4613
41	734	4564
42	744	4504
43	758	4465
44	771	4424
45	785	4385
46	796	4338
47	809	4302
48	822	4265
49	835	4226
50	845	4180
51	858	4145
52	871	4110
53	887	4094
54	900	4060
55	912	4025
56	926	3997
57	937	3961
58	949	3928
59	961	3893
60	974	3866
61	987	3840
62	1002	3819
63	1015	3791
64	1027	3761
65	1040	3737
66	1053	3711
67	1067	3689
68	1081	3666
69	1092	3635
70	1104	3610
71	1117	3586
72	1130	3560
73	1140	3529
74	1154	3508
75	1168	3489
76	1181	3467
77	1193	3443
78	1205	3417
79	1217	3393
80	1232	3376
81	1245	3356
82	1256	3329
83	1269	3308
84	1282	3289
85	1295	3268
86	1307	3245
87	1319	3223
88	1332	3203
89	1347	3188
90	1359	3167
91	1373	3149
92	1385	3129
93	1398	3110
94	1414	3097
95	1429	3082
96	1445	3068
97	1459	3053
98	1475	3040
99	1487	3020
100	1501	3003
101	1515	2986
102	1529	2970
103	1543	2952
104	1557	2937
105	1574	2925
106	1588	2910
107	1603	2894
108	1616	2877
109	1629	2859
110	1643	2842
111	1658	2828
112	1673	2813
113	1689	2800
114	1704	2785
115	1721	2775
116	1737	2761
117	1749	2742
118	1763	2727
119	1777	2711
120	1793	2697
121	1808	2682
122	1823	2667
123	1837	2652
124	1852	2637
125	1867	2622
126	1878	2603
127	1893	2588
128	1907	2572
129	1921	2557
130	1936	2543
131	1953	2530
132	1966	2513
133	1977	2493
134	1990	2476
135	2003	2460
136	2016	2442
137	2026	2423
138	2039	2405
139	2051	2388
140	2065	2372
141	2076	2354
142	2091	2340
143	2104	2323
144	2117	2306
145	2131	2291
146	2142	2274
147	2154	2256
148	2167	2240
149	2179	2223
150	2189	2204
151	2202	2188
152	2215	2172
153	2231	2159
154	2245	2144
155	2259	2129
156	2273	2114
157	2289	2100
158	2304	2086
159	2318	2072
160	2334	2058
161	2347	2043
162	2361	2028
163	2373	2011
164	2387	1996
165	2400	1980
166	2413	1965
167	2425	1949
168	2437	1932
169	2452	1918
170	2466	1904
171	2480	1889
172	2496	1875
173	2507	1858
174	2519	1842
175	2532	1827
176	2545	1811
177	2555	1794
178	2568	1779
179	2581	1763
180	2594	1748
181	2605	1732
182	2616	1715
183	2628	1700
184	2638	1682
185	2652	1668
186	2665	1653
187	2679	1638
188	2693	1624
189	2704	1608
190	2717	1593
191	2728	1577
192	2737	1560
193	2750	1545
194	2761	1529
195	2774	1514
196	2786	1499
197	2801	1485
198	2815	1471
199	2828	1456
200	2840	1441
201	2850	1425
202	2862	1410
203	2874	1394
204	2884	1378
205	2897	1364
206	2910	1349
207	2923	1335
208	2932	1318
209	2943	1303
210	2956	1289
211	2968	1274
212	2981	1259
213	2994	1245
214	3006	1230
215	3018	1215
216	3030	1201
217	3042	1186
218	3056	1172
219	3066	1157
220	3080	1142
221	3094	1128
222	3107	1114
223	3120	1100
224	3131	1085
225	3144	1071
226	3157	1057
227	3173	1044
228	3192	1031
229	3206	1017
230	3219	1003
231	3230	988
232	3244	974
233	3257	960
234	3276	948
235	3290	934
236	3304	920
237	3317	905
238	3330	891
239	3344	877
240	3358	864
241	3372	850
242	3385	835
243	3397	821
244	3408	806
245	3422	792
246	3435	778
247	3447	764
248	3460	750
249	3477	737
250	3498	724
251	3510	710
252	3524	696
253	3540	682
254	3556	669
255	3570	655
256	3589	642
257	3604	628
258	3619	614
259	3635	601
260	3649	587
261	3665	573
262	3678	559
263	3691	545
264	3705	531
265	3719	517
266	3733	503
267	3744	489
268	3758	475
269	3777	461
270	3790	447
271	3804	433
272	3818	419
273	3831	405
274	3849	391
275	3868	378
276	3882	364
277	3894	350
278	3908	336
279	3924	322
280	3941	308
281	3956	294
282	3970	280
283	3986	266
284	4004	252
285	4018	238
286	4031	224
287	4045	210
288	4057	196
289	4070	182
290	4083	168
291	4099	154
292	4111	140
293	4122	126
294	4135	112
295	4149	98
296	4165	84
297	4183	70
298	4196	56
299	4212	42
300	4223	28
301	4237	14
302	4251	0
