iter	Logloss
0	0.5941660717
1	0.5217354706
2	0.4702101653
3	0.4322521765
4	0.4065722094
5	0.3864494547
6	0.3710221555
7	0.3603781586
8	0.3527408823
9	0.3460712188
10	0.3417103737
11	0.3380480267
12	0.3347191024
13	0.3322713572
14	0.3305905179
15	0.3291426869
16	0.3279497784
17	0.3269952769
18	0.3263865863
19	0.3257265521
20	0.3250877683
21	0.3247822692
22	0.3244202963
23	0.3241452494
24	0.3239187068
25	0.3236935501
26	0.3234990954
27	0.3233098746
28	0.3231532851
29	0.3229425398
30	0.3227504598
31	0.3226030135
32	0.3224827054
33	0.3223737039
34	0.3222582314
35	0.3221724545
36	0.3220527114
37	0.321956341
38	0.3219056832
39	0.3218507946
40	0.3217822361
41	0.3217078123
42	0.3216539704
43	0.3216165121
44	0.3215642267
45	0.3214988406
46	0.3214437583
47	0.3213691736
48	0.3213277518
49	0.3212623738
50	0.3212158135
51	0.3211885617
52	0.3211586959
53	0.3211265314
54	0.3211054374
55	0.3210789916
56	0.3210542731
57	0.3210339485
58	0.3210001027
59	0.3209595863
60	0.3209348369
61	0.3209110204
62	0.3208909273
63	0.3208643924
64	0.3208446821
65	0.3208090106
66	0.3207356149
67	0.3207156552
68	0.3206964574
69	0.3206768527
70	0.3206333329
71	0.3206127799
72	0.3205835074
73	0.3205662694
74	0.3205296471
75	0.3205104439
76	0.3204609303
77	0.3204470229
78	0.3204180564
79	0.3203843214
80	0.3203734363
81	0.3203562878
82	0.3203429619
83	0.3203059664
84	0.3202883697
85	0.3202382997
86	0.3202246676
87	0.3202080787
88	0.3201869322
89	0.3201683751
90	0.3201518905
91	0.3201446324
92	0.3201326871
93	0.3201086949
94	0.320083621
95	0.3200644242
96	0.3200384017
97	0.3200047913
98	0.3199762233
99	0.3199690241
100	0.3199581752
101	0.319916379
102	0.3198870513
103	0.3198767129
104	0.319851961
105	0.3198294088
106	0.3197982315
107	0.3197661254
108	0.3197488967
109	0.3197306053
110	0.31971046
111	0.3196829579
112	0.3196680286
113	0.3196493139
114	0.3196210522
115	0.3196093605
116	0.3195929816
117	0.3195757188
118	0.3195473549
119	0.3195301508
120	0.3194745744
121	0.3194537282
122	0.3194154524
123	0.3193980665
124	0.3193742818
125	0.3193536302
126	0.3193352489
127	0.3193089274
128	0.3192989506
129	0.3192857047
130	0.3192586906
131	0.3192325235
132	0.3192145413
133	0.3191912263
134	0.3191791607
135	0.319157615
136	0.3191442548
137	0.3191248975
138	0.3191158723
139	0.319105108
140	0.3190721896
141	0.3190575629
142	0.3190419504
143	0.3190248609
144	0.3189952513
145	0.3189822467
146	0.3189606308
147	0.3189431859
148	0.3189230839
149	0.3189045884
150	0.3188845201
151	0.3188668528
152	0.3188549883
153	0.3188179042
154	0.3188090983
155	0.3187901702
156	0.3187792508
157	0.3187616798
158	0.318747303
159	0.3187155992
160	0.3187020662
161	0.3186873095
162	0.3186816026
163	0.3186514527
164	0.3186324445
165	0.318616971
166	0.3185993808
167	0.318586719
168	0.3185703338
169	0.3185564762
170	0.3185431593
171	0.3185206722
172	0.318507312
173	0.3184938963
174	0.3184748049
175	0.3184612594
176	0.3184498828
177	0.3184447075
178	0.3184334762
179	0.3184222202
180	0.3184088725
181	0.3184022201
182	0.3183891009
183	0.3183759916
184	0.3183635521
185	0.3183451554
186	0.3183249113
187	0.3183174557
188	0.3183112669
189	0.3182998193
190	0.3182905067
191	0.3182861038
192	0.3182743659
193	0.3182651275
194	0.3182582898
195	0.3182467928
196	0.3182331052
197	0.3182169303
198	0.3182052235
199	0.3181965629
200	0.3181828568
201	0.3181718509
202	0.3181571095
203	0.3181424178
204	0.3181307354
205	0.3181126606
206	0.3181005487
207	0.3180909335
208	0.3180779842
209	0.3180672132
210	0.3180582344
211	0.3180556606
212	0.318049194
213	0.318036353
214	0.3180224768
215	0.3180034161
216	0.3179945177
217	0.3179779164
218	0.3179686688
219	0.317958627
220	0.3179468493
221	0.3179223197
222	0.3179128739
223	0.3179020998
224	0.3178931858
225	0.3178839721
226	0.3178690146
227	0.317857292
228	0.3178445436
229	0.3178295767
230	0.3178250964
231	0.3178156911
232	0.3178034309
233	0.3177902498
234	0.3177747573
235	0.3177627595
236	0.3177585667
237	0.3177463678
238	0.3177323617
239	0.3177231974
240	0.317715093
241	0.3177032345
242	0.3176896269
243	0.3176806451
244	0.3176725127
245	0.3176687589
246	0.3176628111
247	0.3176523213
248	0.3176435278
249	0.3176314313
250	0.3176234655
251	0.3176138223
252	0.3176082885
253	0.3175973692
254	0.3175830295
255	0.317570241
256	0.3175632053
257	0.3175521595
258	0.3175380919
259	0.3175158676
260	0.317504723
261	0.3174937727
262	0.3174813734
263	0.3174644322
264	0.3174500149
265	0.3174304843
266	0.3174170283
267	0.3174099249
268	0.3173988421
269	0.317390234
270	0.3173833562
271	0.3173737346
272	0.3173517603
273	0.317340532
274	0.3173282562
275	0.3173142873
276	0.3173083332
277	0.3172978253
278	0.3172902986
279	0.317271976
280	0.3172630807
281	0.3172536816
282	0.3172398117
283	0.3172355972
284	0.3172235222
285	0.3172125133
286	0.317200311
287	0.3171925403
288	0.3171823224
289	0.3171748296
290	0.317165029
291	0.3171526329
292	0.3171440773
293	0.317135531
294	0.3171235767
295	0.3171109396
296	0.3171035025
297	0.3170924693
298	0.3170866575
299	0.3170821186
