iter	Passed	Remaining
0	72	21768
1	137	20423
2	196	19494
3	265	19633
4	320	18933
5	381	18686
6	437	18310
7	501	18287
8	572	18523
9	647	18781
10	708	18609
11	775	18611
12	841	18581
13	904	18477
14	974	18522
15	1035	18373
16	1093	18209
17	1165	18252
18	1229	18187
19	1300	18208
20	1371	18221
21	1432	18100
22	1488	17921
23	1552	17857
24	1627	17898
25	1688	17792
26	1757	17768
27	1824	17721
28	1880	17570
29	1944	17498
30	2008	17427
31	2073	17368
32	2134	17272
33	2198	17202
34	2261	17121
35	2321	17026
36	2386	16965
37	2446	16867
38	2507	16778
39	2577	16755
40	2650	16743
41	2723	16728
42	2798	16723
43	2868	16686
44	2943	16679
45	3006	16602
46	3072	16538
47	3133	16450
48	3193	16360
49	3260	16302
50	3326	16239
51	3389	16167
52	3458	16116
53	3523	16050
54	3602	16048
55	3665	15971
56	3726	15885
57	3790	15816
58	3852	15736
59	3920	15683
60	3982	15604
61	4050	15548
62	4121	15506
63	4186	15436
64	4289	15509
65	4375	15511
66	4452	15483
67	4519	15418
68	4607	15423
69	4695	15427
70	4793	15459
71	4856	15380
72	4918	15294
73	5012	15306
74	5159	15477
75	5236	15432
76	5315	15394
77	5381	15317
78	5453	15254
79	5523	15189
80	5608	15163
81	5672	15080
82	5739	15006
83	5819	14963
84	5892	14903
85	5968	14850
86	6037	14782
87	6110	14720
88	6174	14639
89	6240	14560
90	6320	14516
91	6383	14432
92	6452	14361
93	6517	14284
94	6622	14290
95	6686	14209
96	6761	14151
97	6836	14091
98	6902	14013
99	6966	13933
100	7037	13866
101	7111	13805
102	7183	13738
103	7262	13686
104	7361	13671
105	7437	13612
106	7504	13536
107	7603	13517
108	7684	13465
109	7746	13380
110	7810	13299
111	7909	13275
112	7985	13214
113	8044	13124
114	8112	13050
115	8179	12974
116	8254	12911
117	8322	12836
118	8397	12772
119	8467	12701
120	8547	12644
121	8636	12601
122	8701	12521
123	8781	12463
124	8847	12386
125	8919	12317
126	8986	12240
127	9055	12167
128	9128	12099
129	9209	12043
130	9298	11995
131	9393	11955
132	9469	11890
133	9557	11839
134	9672	11822
135	9745	11751
136	9830	11695
137	9897	11618
138	9973	11552
139	10044	11479
140	10112	11403
141	10171	11317
142	10241	11244
143	10307	11166
144	10395	11112
145	10494	11069
146	10598	11031
147	10710	11000
148	10785	10930
149	10871	10871
150	10960	10815
151	11034	10743
152	11110	10674
153	11197	10615
154	11278	10550
155	11352	10478
156	11419	10401
157	11503	10338
158	11606	10292
159	11687	10226
160	11765	10157
161	11838	10084
162	11901	10003
163	11988	9942
164	12079	9883
165	12178	9831
166	12260	9764
167	12359	9711
168	12437	9640
169	12549	9596
170	12643	9538
171	12725	9470
172	12803	9399
173	12892	9335
174	12966	9262
175	13046	9191
176	13125	9120
177	13210	9054
178	13276	8974
179	13360	8906
180	13428	8828
181	13528	8771
182	13608	8700
183	13690	8630
184	13752	8548
185	13831	8477
186	13905	8402
187	13980	8328
188	14053	8253
189	14110	8169
190	14184	8094
191	14253	8017
192	14342	7951
193	14410	7873
194	14499	7807
195	14589	7741
196	14676	7673
197	14774	7610
198	14866	7545
199	14963	7481
200	15069	7422
201	15146	7348
202	15235	7279
203	15318	7208
204	15397	7135
205	15496	7071
206	15601	7009
207	15673	6932
208	15736	6851
209	15819	6779
210	15885	6700
211	15950	6621
212	16021	6544
213	16103	6471
214	16167	6391
215	16243	6316
216	16311	6239
217	16393	6166
218	16467	6090
219	16549	6018
220	16650	5952
221	16737	5880
222	16802	5801
223	16884	5728
224	16947	5649
225	17007	5568
226	17084	5494
227	17161	5419
228	17229	5341
229	17303	5266
230	17375	5189
231	17446	5113
232	17553	5047
233	17638	4974
234	17711	4898
235	17773	4819
236	17832	4740
237	17918	4667
238	17994	4592
239	18089	4522
240	18167	4447
241	18237	4370
242	18331	4300
243	18401	4223
244	18470	4146
245	18559	4074
246	18638	3999
247	18720	3925
248	18787	3848
249	18848	3769
250	18913	3692
251	18986	3616
252	19048	3538
253	19113	3461
254	19195	3387
255	19256	3309
256	19322	3232
257	19400	3158
258	19476	3083
259	19565	3010
260	19663	2938
261	19748	2864
262	19820	2788
263	19890	2712
264	19962	2636
265	20045	2562
266	20109	2485
267	20194	2411
268	20267	2335
269	20337	2259
270	20415	2184
271	20494	2109
272	20584	2035
273	20661	1960
274	20740	1885
275	20807	1809
276	20870	1732
277	20947	1657
278	21019	1582
279	21107	1507
280	21194	1433
281	21271	1357
282	21359	1283
283	21442	1208
284	21521	1132
285	21610	1057
286	21692	982
287	21773	907
288	21839	831
289	21943	756
290	22048	681
291	22126	606
292	22186	530
293	22263	454
294	22343	378
295	22424	303
296	22493	227
297	22586	151
298	22656	75
299	22729	0
