models7 actual data first 30 rows/items


========================================================================================================================
CatBoost_test.parquet
========================================================================================================================
 recency_days  tenure_days  ndays  n_events  n_view  n_cart  n_remove_from_cart  n_purchase  avg_price  purch_amt  churn  user_id
     5.444711     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  25.379999   0.000000      1  2038666
     0.799306     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  16.030001   0.000000      1  4230352
     3.678912     2.998310    3.0      15.0    14.0     0.0                 1.0         0.0   7.124000   0.000000      1  4661182
     2.121146     0.000000    1.0       1.0     0.0     1.0                 0.0         0.0   5.680000   0.000000      1  6217356
     5.573588     0.000000    1.0       3.0     0.0     3.0                 0.0         0.0   2.480000   0.000000      1  9794320
     2.360058    17.370278    3.0     260.0    28.0   114.0                49.0        69.0   1.942961 104.900002      0 10280338
     4.787512     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0   0.950000   0.000000      1 13383118
     6.714329     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0   3.970000   0.000000      1 18595608
     1.623935     0.005127    1.0       3.0     3.0     0.0                 0.0         0.0   4.410000   0.000000      1 22050296
     2.110833    12.449167    3.0      42.0    11.0    15.0                16.0         0.0   7.854286   0.000000      0 25300038
     0.431134     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  63.490002   0.000000      1 26472395
     3.371863     8.879201    7.0      33.0    22.0     5.0                 1.0         5.0   5.653030  18.709999      1 27872944
     2.424491     0.017975    1.0      15.0     5.0    10.0                 0.0         0.0   5.332667   0.000000      1 28129653
     4.420891     0.000683    1.0       4.0     2.0     2.0                 0.0         0.0   3.650000   0.000000      1 29678219
     3.688287    15.400093    2.0       2.0     2.0     0.0                 0.0         0.0   7.940000   0.000000      1 30911274
     3.425104    13.033472    6.0       6.0     6.0     0.0                 0.0         0.0   8.570000   0.000000      1 30967218
     1.153449     0.605833    1.0      46.0    30.0    12.0                 4.0         0.0   8.959130   0.000000      1 31328299
     4.442755     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0   7.140000   0.000000      1 32810273
     3.823565     0.000000    1.0       1.0     0.0     1.0                 0.0         0.0   5.560000   0.000000      1 33324336
     5.509248     1.046447    2.0       5.0     3.0     1.0                 1.0         0.0   2.832000   0.000000      1 33535391
     0.368368     0.016794    1.0       4.0     4.0     0.0                 0.0         0.0  10.000000   0.000000      1 34306211
     0.775255    15.001713    2.0       8.0     6.0     2.0                 0.0         0.0   5.958750   0.000000      1 34344195
     4.643912     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  10.950000   0.000000      1 35376580
     1.211215     0.000000    1.0       2.0     2.0     0.0                 0.0         0.0  20.000000   0.000000      1 36654062
     3.103889     0.017581    1.0       4.0     4.0     0.0                 0.0         0.0  10.742500   0.000000      1 37807189
     0.468194     5.905093    2.0       4.0     4.0     0.0                 0.0         0.0   5.402500   0.000000      1 38069416
     3.574560     0.002014    1.0       2.0     2.0     0.0                 0.0         0.0  15.710000   0.000000      0 38192170
     3.193542     0.004167    1.0       2.0     2.0     0.0                 0.0         0.0  23.840000   0.000000      1 38560385
     2.240741     0.002627    1.0       3.0     0.0     3.0                 0.0         0.0  15.133333   0.000000      1 38721999
     2.566134     0.035139    1.0       9.0     7.0     2.0                 0.0         0.0   6.090000   0.000000      1 41245593

========================================================================================================================
CatBoost_train.parquet
========================================================================================================================
 recency_days  tenure_days  ndays  n_events  n_view  n_cart  n_remove_from_cart  n_purchase  avg_price  purch_amt  churn  user_id
     5.213183     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0   7.140000   0.000000      1  9582366
     3.775972     7.740116    4.0      46.0    28.0    13.0                 5.0         0.0   6.456304   0.000000      0 12961898
     1.456053     0.004178    1.0      18.0    18.0     0.0                 0.0         0.0   7.887222   0.000000      1 16460232
     2.288275     0.000810    1.0       2.0     0.0     2.0                 0.0         0.0   5.015000   0.000000      1 17130461
     2.271319   112.066597   20.0     584.0   396.0    77.0               104.0         7.0   5.467089  21.809999      1 20554973
     4.820451    90.819861    3.0       3.0     3.0     0.0                 0.0         0.0  17.040001   0.000000      1 22050296
     5.220197     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0  19.370001   0.000000      1 23137643
     6.496447    65.620590    2.0       4.0     3.0     1.0                 0.0         0.0  21.682499   0.000000      1 25635927
     4.440961     0.000000    1.0       1.0     1.0     0.0                 0.0         0.0   0.000000   0.000000      0 27505098
